khipu_id,pc1,pc2,cluster_kmeans,cluster_hierarchical
1000000,-1.0922112096510828,-0.024757617548852653,3,3
1000001,-2.436637836724372,-1.8106058941801138,1,5
1000002,-0.8361512532588925,0.7095220327369245,3,3
1000003,-0.6644563790621971,0.48546912217719074,3,3
1000004,1.791912910355443,0.5612782466222345,0,1
1000005,-0.1309490706693292,0.5564337927688106,3,3
1000006,0.24871829199776385,0.8662355667785033,3,1
1000007,3.391849838715408,0.5128750149233626,0,1
1000008,-0.17406302961553263,1.3446468236215923,3,1
1000009,0.6077767586842039,1.2077081869980064,3,1
1000010,0.44946217273634503,1.2204343211515025,3,1
1000011,-0.6076187277498676,0.5430414639834573,3,3
1000012,0.6613518715780639,1.3443170876344992,3,1
1000013,-0.8286983809516193,-1.1208785192716484,3,3
1000014,-0.5289147036079044,-0.36640555009817216,3,3
1000015,-0.6410393132301149,0.4527887760572128,3,3
1000017,-0.5841232249968307,0.9138989430721055,3,3
1000018,4.463578745611392,0.018888018938316032,0,1
1000019,1.6912529626984794,0.11152214268581159,0,1
1000020,8.789158629288856,-0.9766574505569572,0,0
1000021,0.7262924883172664,0.5593443555484369,3,1
1000022,1.4890276916696434,0.6129588925091959,0,1
1000023,7.372091673934611,-1.4266064437233568,0,0
1000024,7.827494031806151,-1.432466032537808,0,0
1000025,11.268545915870018,-2.688510702531756,4,0
1000026,-1.2253148774821123,0.5424333472230729,3,3
1000027,-1.0466057206816386,-0.20612619915774785,3,3
1000028,-1.1015052339751443,0.012337713949872023,3,3
1000029,3.0742554340277146,0.21852444243352076,0,1
1000030,-0.8758456200090584,0.7377758090363891,3,3
1000031,-1.4989096881213773,-0.3027168186617538,3,3
1000032,0.721571297641314,1.0444334020112345,3,1
1000033,-0.05124301118507426,0.7719358109726612,3,3
1000034,0.2796735419344595,1.166607113782816,3,3
1000035,-0.762627591688197,0.78843306117578,3,3
1000036,-1.2339655801786715,0.28392004118196845,3,3
1000037,-0.6585228667980885,0.9461777208511647,3,3
1000038,-2.4722307743904492,-2.2462929048187674,1,5
1000039,-0.020344402148580434,0.21667652195257675,2,6
1000040,0.5807403836580881,0.4986887591482653,3,3
1000041,-0.44003019370486796,0.646697014204251,3,3
1000042,0.10185481468044102,1.090942585589615,3,3
1000043,-1.14063954847278,0.7797648563110523,3,3
1000044,-0.9369736055973682,1.0024289244529372,3,3
1000045,3.8829622577122964,-0.39507756773376385,0,1
1000046,-1.0711788363982735,0.668905835033982,3,3
1000047,-0.18025336886490612,1.229933859355286,3,3
1000048,-1.193839087366655,0.3248280451529871,3,3
1000049,-1.0771486472107372,0.688063420645284,3,3
1000050,-0.19978411460290216,0.8710249707388277,3,3
1000051,-0.897375021745238,0.3809823111102754,3,3
1000052,-0.2692318599490378,1.1079803127745727,3,1
1000053,4.267185313261219,-1.614340718763686,2,6
1000054,-1.2212397555598755,0.21279401478699056,3,3
1000055,-1.6150373845561228,-0.07412784669545905,3,3
1000056,-0.34075728064193567,-0.8581861412939326,3,3
1000057,1.9437072528476533,-0.6207153233328813,2,6
1000058,-0.41491592403858407,1.2167462474752526,3,3
1000059,-1.3152464101204688,0.37052987472902216,3,3
1000060,-0.7725797835378866,1.2748971276979255,3,1
1000061,-1.8127517393566768,-1.0640690771095587,1,3
1000062,-1.8461570289810167,-0.8773632578227417,1,3
1000063,4.953470886150988,-1.0549860374605835,0,1
1000064,-1.0743865602199778,0.14502117838120954,3,3
1000065,0.9236997578509979,-1.1041992843574402,2,3
1000066,-2.2082215596367973,-1.5886320218853598,1,3
1000067,-1.4375117660852357,0.16972008012300124,3,3
1000068,-2.056088465070444,-1.2522069763688422,1,3
1000069,-2.251462224653023,-1.454805891535795,1,3
1000070,-1.5902337915336766,-0.0883741803782915,3,3
1000071,-0.24717263321633867,0.301651193060413,3,3
1000072,-1.5812158072249294,-0.3120335435100171,3,3
1000073,-1.7553293547811943,-0.46470546449916594,3,3
1000074,-1.0426523376390608,0.3937451010388412,3,3
1000075,-1.5704969983903363,-0.3230689390778814,3,3
1000076,-0.6328799486703325,1.0744744094040675,3,3
1000077,4.236504643534398,-1.7551864236451886,2,6
1000078,-1.7753772579945164,-0.4742793925214606,1,3
1000079,0.3454131442605423,0.8272293386372482,3,3
1000080,-0.7373142249875265,0.3071227380140418,3,3
1000081,-0.8503807523467404,0.9575731895202143,3,3
1000082,-1.403884801688915,-0.027252512396610213,3,3
1000083,1.3156279559724533,1.1369037335940388,0,1
1000084,-2.398460362867984,-2.023983973365047,1,5
1000085,3.78519638468706,-0.6364765639666904,0,1
1000086,-1.5345419970540064,-0.10356394475581607,3,3
1000087,-0.9185431009770427,0.8994188172602108,3,3
1000088,2.099595601172427,-5.0421318971488365,6,4
1000089,2.347424356612593,0.2598018781944464,0,1
1000090,-1.2466510525369339,-0.09000575909817278,3,3
1000091,-0.24203698322617764,0.7586530864684329,3,3
1000092,-1.5048608595121526,-0.738789701879884,3,3
1000093,-0.9296103480807353,0.6569497756608189,3,3
1000094,2.9400784451728477,0.7369834784641338,0,1
1000096,28.13340670023174,-9.37867384083115,4,0
1000097,0.3401905157422112,1.323519218373915,3,1
1000098,-0.32400004587845493,0.438496132059189,3,3
1000099,-0.5142192759287064,0.40381655708789743,3,3
1000100,-1.0086522816367667,0.21964741474130198,3,3
1000101,-0.8330444191160975,0.8511858456842262,3,3
1000103,6.875190842107533,-1.7241752506524737,0,0
1000105,-1.5088409627723613,-1.2434613556476548,3,3
1000106,-1.3209648958782598,0.18608493976868637,3,3
1000107,-1.4579517342501813,-0.10908625580203087,3,3
1000108,-1.0292093829440527,0.3345433035331891,3,3
1000109,-1.4663373372911752,-0.173081417029724,3,3
1000110,-1.169544331276226,0.1890419947625748,3,3
1000111,-1.4493236371126765,-0.8433030910883439,3,3
1000112,-3.0381572595194037,-3.130163857666626,1,5
1000113,-0.7744312134590153,0.514573648332727,3,3
1000114,-1.3044493130421668,-0.0315953478202493,3,3
1000115,2.101969595783461,0.5877470844651439,0,1
1000116,-1.2339655801786715,0.28392004118196845,3,3
1000117,-1.1742899209094446,0.37429535351402077,3,3
1000118,-0.8947233640434101,0.5457277699469035,3,3
1000119,-0.10713358048690813,0.4732626202753289,2,6
1000120,0.5378030225864214,0.7813219373077408,3,1
1000121,0.943591724299083,0.8174909681212482,3,1
1000122,-1.3209648958782598,0.18608493976868637,3,3
1000123,-1.2339655801786715,0.28392004118196845,3,3
1000124,0.8890810372199915,0.20985104333326796,2,6
1000125,-0.40035809194779515,1.373822785360853,3,1
1000126,-0.3651284194116061,1.435010945024885,3,1
1000127,0.6188936066873619,0.9992232395547181,3,1
1000128,-0.6928909492454892,1.153734477856683,3,3
1000129,-3.5504144187854787,-4.292141419733255,1,5
1000130,-1.7751273501447713,-0.6064802078428427,1,3
1000131,-0.052978256755046,0.5124423065164904,2,6
1000132,-0.7690783831489453,0.8238097918655254,3,3
1000133,-1.2365725852483485,-0.2855929194822194,3,3
1000134,-2.085782055847635,-1.086246248113894,1,3
1000135,-1.4414588850030159,-0.21161104937009362,3,3
1000136,-2.645857729096421,-2.6077262837894866,1,5
1000137,-0.7841670150041233,0.6757142994692655,3,3
1000138,-0.787750967397188,1.081978365342059,3,3
1000139,-0.9700782416119395,0.3186310200195498,3,3
1000140,4.037021976172693,-0.10121934127141557,0,1
1000141,-1.930629366569474,-0.985030765026541,1,3
1000142,-1.3068995107732746,0.10747196322686868,3,3
1000143,-0.8861026441403548,0.4975456230341766,3,3
1000144,1.1099230592095555,0.8941301448314743,3,1
1000145,-0.9177340493556122,0.812523324221932,3,3
1000146,0.012577188789122402,1.9246063768141206,3,1
1000147,3.9099279028894482,0.6595335188592955,0,1
1000148,3.607953367595631,-0.00694078640406474,0,1
1000149,-1.4746543790623512,-0.01573334615862245,3,3
1000150,-0.7179004865413108,0.8498571942162332,3,3
1000151,-0.7372012589528343,0.6009671572401221,3,3
1000152,-0.6685119926976701,0.9202203160435201,3,3
1000154,-2.6903981152622074,-2.358785191407064,1,5
1000155,-6.055410872397545,-10.131486606130116,1,5
1000156,-2.0161149817908344,-1.4023739984197867,1,3
1000157,-1.9573535982689458,-0.8356661095970875,1,3
1000158,-0.5999880378300437,1.2550708651958495,3,1
1000159,-0.27431596969975286,1.0028481628163153,3,3
1000160,-4.029483981040265,-6.642712766145173,1,5
1000161,-1.652740671923364,-0.4391901341044439,3,3
1000162,-0.7545020895727915,0.5632925120789556,3,3
1000163,-1.2762284108479482,0.237939324278387,3,3
1000164,0.43825264538246356,0.8853198994144289,3,1
1000165,-0.31207198343652515,1.2959915013663625,3,3
1000166,-0.7537596260651549,0.6555127507613697,3,3
1000167,-0.9821522827541324,0.6444299217396148,3,3
1000168,-3.5504144187854787,-4.292141419733255,1,5
1000169,-1.1321589832283026,-0.2850881699778543,3,3
1000170,-0.48883017713591886,0.7203117795525651,3,3
1000171,-1.4746543790623512,-0.01573334615862245,3,3
1000172,-0.946947724497032,0.28080729580578995,3,3
1000173,-2.085782055847635,-1.086246248113894,1,3
1000174,-1.4686657683126176,-3.6556247594182594,6,4
1000176,-0.5491140895703119,-0.10542271055062619,3,3
1000177,-1.0453590012824667,-2.330903629844934,5,2
1000178,-0.8245394932529309,0.8230127702980882,3,3
1000179,-0.8951363638014356,0.8052551994102802,3,3
1000180,0.7117271158849571,0.013644742186311705,3,3
1000182,-3.5504144187854787,-4.292141419733255,1,5
1000183,8.916096648344373,-2.409585647093984,4,0
1000184,0.5782779384941931,-0.33129687515615386,2,6
1000185,0.03005376019078156,1.6480189662815299,3,1
1000186,-1.6116264693087916,-0.6689819116882185,3,3
1000187,-1.6510926134489934,-0.35142549359699815,3,3
1000188,-0.6565730115553522,0.7410335309941714,3,3
1000189,-1.6679543776825447,-0.26918233656477375,3,3
1000190,-1.8237324397715864,-1.582489386744355,1,3
1000191,-1.8488642940246671,-0.6324312917841702,1,3
1000192,0.04595870866376964,0.8022351491455347,3,3
1000194,-1.8136585193093258,-1.2246039539468812,1,3
1000195,-3.4836038395367988,-4.665553058306888,1,5
1000196,-4.213506063406166,-7.231081142943707,1,5
1000197,0.10546974288279648,0.5628328992174374,3,3
1000198,2.1785681928532514,0.9905147928010816,0,1
1000199,-0.8395402764716294,0.6726543780324532,3,3
1000200,-0.13564726396056767,0.6334561192904494,3,3
1000201,1.2747145958132005,1.5758099043272242,0,1
1000204,-1.215243166163231,-1.081591256604517,3,3
1000205,-3.0381572595194037,-3.130163857666626,1,5
1000206,-1.5300535977399847,0.0657508407130275,3,3
1000207,-0.45973534725463516,0.6546565790699744,3,3
1000208,-0.16498738780608424,1.773617912486934,3,1
1000209,-0.19475599600032606,1.5080839430506678,3,1
1000210,-0.91094981477162,0.5711170297965725,3,1
1000211,-0.7441860933555999,0.7827282482562135,3,3
1000212,-0.3190791043106139,0.9935549482687113,3,3
1000213,-0.6871783696580467,0.3671943110991203,3,3
1000214,-0.48328731487648857,1.0207881246256187,3,3
1000216,-1.6193648655016866,-0.5407544373455982,3,3
1000217,-2.1414109803881174,-1.9620436604589935,1,5
1000218,-2.6903981152622074,-2.358785191407064,1,5
1000220,-1.2450935652344393,0.4350314337027277,3,3
1000221,-0.7867611767500479,0.4511837446382913,3,3
1000222,-0.6985077352288851,1.0382918383430944,3,3
1000223,-0.7460472740159675,0.7907899662197985,3,3
1000224,-2.556776956764848,-3.1056084685543315,1,5
1000225,-2.298701861294207,-2.130944624296968,1,3
1000226,-2.398460362867984,-2.023983973365047,1,5
1000227,-0.28714594926308745,1.1818058627922066,3,1
1000228,-0.45135986800001093,0.3202561591900642,3,3
1000229,0.015358571603672924,1.1088614853328378,3,3
1000230,0.2021985377347814,0.8534693414250872,3,3
1000231,-0.19304235058287345,-0.24288224467541425,3,3
1000232,-0.5365948171437265,0.13860001788993184,3,3
1000233,-0.09599639308874869,1.085321750111527,3,3
1000234,-0.24473047957453584,0.42306156300601094,3,6
1000235,0.6925652004205386,1.539122454653742,3,1
1000236,0.42066939654825625,0.35330849073411813,3,3
1000238,4.134349843510591,0.3486122752997086,0,1
1000239,0.026432718585119953,1.3264429977443095,3,1
1000240,-0.5175983790037526,0.45675201632816526,3,3
1000241,0.02667202335055954,-2.97723359006652,6,4
1000242,-2.3602828890115957,-2.237362052549981,1,5
1000243,-0.9407454446221819,0.7191850487564245,3,3
1000244,-0.863200093359414,0.1614175121938202,3,3
1000245,-0.575358533822655,0.5497487101037439,3,3
1000246,-0.5565224512900369,0.20546538675807383,3,3
1000247,-0.7595992572071135,-0.9653217235632328,3,3
1000248,-0.7595992572071135,-0.9653217235632328,3,3
1000249,-0.0012145382593738284,1.1114296314310879,3,3
1000250,0.210457318195236,-0.4085155955267346,2,6
1000251,0.1514652422297677,1.048820786781861,3,3
1000252,-1.5812158072249294,-0.3120335435100171,3,3
1000253,-1.0837140306454411,0.4232030349897645,3,3
1000254,-1.6662485824496214,-0.9625876492640105,1,3
1000255,-0.6657391472956212,0.7285072599364996,3,3
1000256,-1.4098289157898043,-0.8005990034265986,3,3
1000257,-1.923896502624735,-1.7910872389577221,1,3
1000258,-0.27168359767463807,-0.8169950585510264,3,3
1000259,0.9841971818602006,-0.42302394663830956,2,6
1000260,-0.5366726621375506,0.5012968414358198,3,3
1000261,-0.5366726621375506,0.5012968414358198,3,3
1000262,0.17654745274810663,0.1187443514323496,2,6
1000263,0.2582449606969317,0.6194415919888127,3,3
1000264,0.9999679863008792,0.5285483343328737,3,1
1000265,-0.2398465014289264,1.083018535177258,3,3
1000266,-0.40725663564508674,1.2497837095234714,3,3
1000267,-0.1538751951929506,0.6193338153813485,2,6
1000268,0.07650684091628815,0.568282179572668,2,6
1000269,0.3431452363315634,1.2183551085720463,3,3
1000270,0.2532903823961628,1.0837462067709922,3,3
1000271,0.8254629298419623,0.5881544844244856,3,3
1000272,0.02006106006833527,0.8125551079129848,3,1
1000273,4.569687518894788,-0.34198624076637385,0,1
1000274,0.9654999146981145,0.9390129872203633,3,1
1000275,3.050638355686366,0.1748303668569252,0,1
1000276,-1.9027392916408987,-0.7267217691820363,1,3
1000277,-0.6327086109639533,0.1720210936111689,3,3
1000279,6.104458596965598,0.10530669097271096,5,2
1000280,2.4110632690941443,0.45227486463313227,0,1
1000283,-0.5837650775223809,0.8259664634459077,3,3
1000285,1.1594023827753286,1.1142813526862834,0,1
1000287,3.067254573965808,-0.42241288197257054,0,1
1000288,-1.181410750242719,0.0019525380059472969,3,3
1000289,-1.5025418418570082,-0.42819683204702913,3,3
1000290,-0.8296030865721625,-0.1910225773507524,3,3
1000291,-1.0623346452858635,0.3037113106462018,3,3
1000292,9.999144584631072,-1.350950278975909,4,0
1000293,3.1351737144001235,0.6117946066596102,0,1
1000295,-0.5416254584329093,0.7753640291494105,3,3
1000296,-0.6340162071674121,0.19720217186978717,3,3
1000297,-1.00888618188692,0.004981999787295012,3,3
1000298,2.5784097763687415,1.1351081302168275,0,1
1000299,2.30794611815744,0.5773941523662732,0,1
1000300,0.3595268519935089,1.1480186117833417,3,1
1000301,0.6120203802764533,1.0353464778135213,3,1
1000302,0.5152667150905859,1.1160314823990627,3,1
1000303,-1.225882381759424,0.5282753579607745,3,3
1000304,0.38045513277746695,0.6816279048824335,3,3
1000305,0.03827120182893854,1.3537856041561158,3,1
1000306,-1.1811033865855622,0.5320248609919849,3,3
1000307,-1.1532582000543294,0.5935392709312287,3,3
1000309,-0.6914026680033947,1.220656312112547,3,3
1000310,0.514613753435489,1.085963147087357,3,3
1000312,0.45368123745485794,0.2794411719276882,2,6
1000313,0.4871891996498919,1.0470039961203548,3,3
1000314,2.393053291172037,1.3020920639665612,0,1
1000315,0.3515590088404365,0.7102955367213186,3,3
1000316,0.7462184981676181,0.9640823918593941,3,1
1000317,-0.3184346286678754,0.8535015794498888,3,3
1000318,-0.9053099515999843,1.1600277694360785,3,1
1000319,-0.8039539178436995,0.8226601585177075,3,1
1000320,0.6469453181612418,1.2689028362487824,3,1
1000321,14.650180984512616,-4.1626750214101715,4,0
1000322,-0.6244539228517846,0.8028001158800114,3,3
1000323,1.9631463687549802,0.7773840153677513,0,1
1000324,0.05186244992972776,0.7470831823642435,3,3
1000325,-0.18641927658532512,-0.05850854993357474,3,3
