khipu_id,cluster,predicted_function,accounting_probability,numeric_coverage,has_pendant_summation,pendant_match_rate,color_diversity,num_nodes,depth,avg_branching
1000000,3,Accounting,1.0,0.5263157894736842,False,0.0,5.0,19,2,3.0
1000001,1,Accounting,1.0,0.8571428571428571,False,0.0,1.0,7,1,6.0
1000002,3,Accounting,1.0,0.9032258064516128,False,0.0,8.0,31,2,4.285714285714286
1000003,3,Accounting,1.0,0.8205128205128205,False,0.0,6.0,39,2,4.75
1000004,0,Accounting,1.0,0.8926553672316384,False,0.0,7.0,177,2,10.352941176470589
1000005,3,Accounting,0.973447600617412,0.6349206349206349,False,0.0,2.0,63,2,4.428571428571429
1000006,3,Accounting,0.9828815628815629,0.4691358024691358,False,0.0,4.0,81,3,2.4242424242424243
1000007,0,Accounting,1.0,0.8313953488372093,True,0.036144578313253,8.0,344,3,3.2358490566037736
1000008,3,Accounting,1.0,0.8666666666666667,False,0.0,3.0,60,3,4.538461538461538
1000009,3,Accounting,1.0,0.7716535433070866,True,0.0303030303030303,7.0,127,3,2.423076923076923
1000010,3,Accounting,1.0,0.8539325842696629,False,0.0,7.0,89,3,8.8
1000011,3,Accounting,1.0,0.7111111111111111,False,0.0,4.0,45,2,2.933333333333333
1000012,3,Accounting,1.0,0.9316239316239316,False,0.0,11.0,117,3,3.135135135135135
1000013,3,Accounting,1.0,0.2580645161290322,False,0.0,2.0,31,1,30.0
1000014,3,Accounting,1.0,0.3157894736842105,False,0.0,3.0,38,1,37.0
1000015,3,Accounting,1.0,0.6666666666666666,False,0.0,3.0,33,2,10.666666666666666
1000017,3,Accounting,1.0,0.825,False,0.0,5.0,40,2,3.9
1000018,0,Accounting,1.0,0.7404063205417607,True,0.0471698113207547,8.0,443,3,2.6467065868263475
1000019,0,Accounting,0.992248062015504,0.6060606060606061,True,0.5714285714285714,6.0,165,2,13.666666666666666
1000020,0,Accounting,1.0,0.6134889753566797,True,0.2941176470588235,10.0,771,5,3.6445497630331753
1000021,3,Accounting,1.0,0.8373983739837398,True,0.6521739130434783,7.0,123,2,4.88
1000022,0,Accounting,1.0,0.8404907975460123,True,0.75,6.0,163,2,8.1
1000023,0,Accounting,1.0,0.5549738219895288,True,0.125,14.0,573,3,7.15
1000024,0,Accounting,1.0,0.7386759581881533,True,0.125,9.0,574,3,6.741176470588235
1000025,4,Accounting,1.0,0.6297142857142857,True,0.1639344262295081,7.0,875,3,8.323809523809524
1000026,3,Accounting,1.0,0.8947368421052632,False,0.0,3.0,19,2,2.0
1000027,3,Accounting,1.0,0.4285714285714285,False,0.0,3.0,21,2,2.2222222222222223
1000028,3,Accounting,0.992248062015504,0.6363636363636364,True,0.25,3.0,22,2,3.0
1000029,0,Accounting,1.0,0.6377952755905512,True,0.0833333333333333,8.0,254,3,7.4411764705882355
1000030,3,Accounting,1.0,0.7931034482758621,False,0.0,3.0,29,2,2.5454545454545454
1000031,3,Accounting,1.0,0.8,False,0.0,3.0,15,1,14.0
1000032,3,Accounting,1.0,0.9097222222222222,False,0.0,7.0,144,2,3.25
1000033,3,Accounting,0.965695662632916,0.6666666666666666,True,0.1666666666666666,2.0,69,2,3.5789473684210527
1000034,3,Accounting,0.99,0.9702970297029704,True,0.1,7.0,101,2,3.125
1000035,3,Accounting,1.0,0.7837837837837838,True,0.1666666666666666,3.0,37,2,1.894736842105263
1000036,3,Accounting,0.9911764705882353,0.9523809523809524,False,0.0,2.0,21,1,20.0
1000037,3,Accounting,1.0,0.9210526315789472,False,0.0,3.0,38,2,6.166666666666667
1000038,1,Accounting,1.0,0.6666666666666666,False,0.0,2.0,6,2,1.6666666666666667
1000039,2,Accounting,1.0,0.7230769230769231,False,0.0,7.0,65,1,64.0
1000040,3,Accounting,0.992248062015504,0.5588235294117647,True,0.0833333333333333,4.0,102,2,7.769230769230769
1000041,3,Accounting,1.0,0.979591836734694,False,0.0,3.0,49,1,48.0
1000042,3,Accounting,0.9828815628815629,0.9324324324324323,False,0.0,5.0,74,2,9.125
1000043,3,Accounting,1.0,0.9545454545454546,False,0.0,5.0,22,2,2.1
1000044,3,Accounting,1.0,0.9655172413793104,False,0.0,6.0,29,2,2.1538461538461537
1000045,0,Accounting,1.0,0.6571428571428571,False,0.0,5.0,315,2,8.486486486486486
1000046,3,Accounting,1.0,0.9523809523809524,False,0.0,2.0,21,2,10.0
1000047,3,Accounting,0.9828815628815629,0.9444444444444444,False,0.0,4.0,72,2,2.4482758620689653
1000048,3,Accounting,0.9911764705882353,0.9545454545454546,False,0.0,2.0,22,1,21.0
1000049,3,Accounting,1.0,0.8695652173913043,True,0.125,3.0,23,2,2.2
1000050,3,Accounting,1.0,0.7818181818181819,False,0.0,5.0,55,2,9.0
1000051,3,Accounting,1.0,0.8666666666666667,False,0.0,4.0,30,1,29.0
1000052,3,Accounting,0.972248062015504,0.7209302325581395,True,0.1428571428571428,3.0,43,3,5.25
1000053,2,Accounting,1.0,0.7881944444444444,False,0.0,4.0,288,1,287.0
1000054,3,Accounting,0.9611764705882354,0.9047619047619048,False,0.0,1.0,21,1,20.0
1000055,3,Accounting,1.0,0.9166666666666666,False,0.0,4.0,12,2,2.2
1000056,3,Accounting,0.8480640326010801,0.0232558139534883,False,0.0,4.0,43,1,42.0
1000057,2,Accounting,0.9915966386554622,0.676829268292683,False,0.0,3.0,164,1,163.0
1000058,3,Accounting,1.0,0.9629629629629628,False,0.0,3.0,54,2,3.117647058823529
1000059,3,Accounting,1.0,0.9375,False,0.0,3.0,16,2,5.0
1000060,3,Accounting,0.99,0.9285714285714286,True,0.0833333333333333,3.0,28,3,1.9285714285714288
1000061,1,Accounting,1.0,0.625,False,0.0,4.0,8,3,2.333333333333333
1000062,1,Accounting,1.0,0.75,False,0.0,3.0,8,3,2.333333333333333
1000063,0,Accounting,1.0,0.4888268156424581,True,0.0588235294117647,7.0,358,2,18.789473684210527
1000064,3,Accounting,0.9911764705882353,0.7916666666666666,False,0.0,4.0,24,1,23.0
1000065,2,Accounting,0.7257546263852757,0.0,False,0.0,3.0,102,1,101.0
1000066,1,Accounting,1.0,0.75,False,0.0,1.0,8,1,7.0
1000067,3,Accounting,1.0,0.9285714285714286,False,0.0,3.0,14,2,6.5
1000068,1,Accounting,1.0,0.7777777777777778,False,0.0,1.0,9,1,8.0
1000069,1,Accounting,1.0,0.8571428571428571,False,0.0,3.0,7,2,3.0
1000070,3,Accounting,1.0,0.9166666666666666,False,0.0,3.0,12,2,3.6666666666666665
1000071,3,Accounting,1.0,0.75,False,0.0,7.0,56,1,55.0
1000072,3,Accounting,1.0,0.8571428571428571,False,0.0,3.0,14,1,13.0
1000073,3,Accounting,1.0,0.9166666666666666,False,0.0,3.0,12,1,11.0
1000074,3,Accounting,1.0,0.7619047619047619,False,0.0,3.0,21,2,10.0
1000075,3,Accounting,1.0,0.75,False,0.0,3.0,12,2,2.2
1000076,3,Accounting,1.0,0.972972972972973,False,0.0,4.0,37,2,7.2
1000077,2,Accounting,0.8438204505587984,0.0744680851063829,False,0.0,3.0,282,2,140.5
1000078,1,Accounting,1.0,0.9,False,0.0,1.0,10,2,4.5
1000079,3,Accounting,1.0,0.7368421052631579,True,0.125,6.0,95,2,4.086956521739131
1000080,3,Accounting,1.0,0.8333333333333334,False,0.0,3.0,36,1,35.0
1000081,3,Accounting,1.0,0.9655172413793104,False,0.0,3.0,29,2,5.6
1000082,3,Accounting,1.0,0.8823529411764706,False,0.0,2.0,17,1,16.0
1000083,0,Accounting,1.0,0.8607594936708861,True,0.0857142857142857,6.0,158,3,3.738095238095238
1000084,1,Accounting,1.0,0.7142857142857143,False,0.0,2.0,7,1,6.0
1000085,0,Accounting,1.0,0.4827586206896552,False,0.0,7.0,290,2,13.761904761904765
1000086,3,Accounting,1.0,0.9333333333333332,False,0.0,4.0,15,1,14.0
1000087,3,Accounting,1.0,0.896551724137931,True,0.5833333333333334,5.0,29,2,2.1538461538461537
1000088,6,Non-Accounting,0.21110781185830235,0.0,False,0.0,1.0,196,1,195.0
1000089,0,Accounting,0.992248062015504,0.7118055555555556,True,0.0657894736842105,6.0,288,2,2.0211267605633805
1000090,3,Accounting,1.0,0.625,False,0.0,4.0,16,2,5.0
1000091,3,Accounting,1.0,0.74,False,0.0,7.0,50,2,16.333333333333332
1000092,3,Accounting,1.0,0.5714285714285714,False,0.0,2.0,14,1,13.0
1000093,3,Accounting,1.0,0.875,True,1.0,2.0,24,2,11.5
1000094,0,Accounting,1.0,0.902097902097902,False,0.0,4.0,286,3,3.313953488372093
1000096,4,Accounting,0.97,0.2177947598253275,True,0.0181818181818181,8.0,1832,3,13.268115942028986
1000097,3,Accounting,1.0,0.8068181818181818,False,0.0,5.0,88,3,3.954545454545455
1000098,3,Accounting,1.0,0.46,False,0.0,5.0,50,2,4.454545454545454
1000099,3,Accounting,1.0,0.8181818181818182,False,0.0,3.0,44,1,43.0
1000100,3,Accounting,0.9911764705882353,0.8076923076923077,False,0.0,4.0,26,1,25.0
1000101,3,Accounting,1.0,0.896551724137931,False,0.0,3.0,29,2,7.0
1000103,0,Accounting,0.992248062015504,0.4391143911439114,True,0.5357142857142857,6.0,542,2,4.7043478260869565
1000105,3,Accounting,1.0,0.3076923076923077,False,0.0,2.0,13,1,12.0
1000106,3,Accounting,0.9911764705882353,0.9473684210526316,False,0.0,4.0,19,1,18.0
1000107,3,Accounting,1.0,0.875,False,0.0,2.0,16,1,15.0
1000108,3,Accounting,0.9911764705882353,0.8846153846153846,False,0.0,3.0,26,1,25.0
1000109,3,Accounting,1.0,0.7272727272727273,False,0.0,3.0,11,3,2.5
1000110,3,Accounting,0.9911764705882353,0.8636363636363636,False,0.0,3.0,22,1,21.0
1000111,3,Accounting,1.0,0.4166666666666667,False,0.0,4.0,12,2,5.5
1000112,1,Accounting,1.0,0.8,False,0.0,4.0,5,1,4.0
1000113,3,Accounting,1.0,0.9722222222222222,False,0.0,6.0,36,1,35.0
1000114,3,Accounting,1.0,0.7333333333333333,False,0.0,2.0,15,2,7.0
1000115,0,Accounting,0.9637394957983193,0.9738219895287958,False,0.0,2.0,191,2,17.272727272727273
1000116,3,Accounting,0.9611764705882354,0.9523809523809524,False,0.0,1.0,21,1,20.0
1000117,3,Accounting,1.0,0.7894736842105263,False,0.0,2.0,19,2,2.571428571428572
1000118,3,Accounting,1.0,0.967741935483871,False,0.0,3.0,31,1,30.0
1000119,2,Accounting,1.0,0.8888888888888888,False,0.0,2.0,63,1,62.0
1000120,3,Accounting,1.0,0.8241758241758241,False,0.0,4.0,91,2,30.0
1000121,3,Accounting,1.0,0.8548387096774194,False,0.0,5.0,124,2,8.785714285714286
1000122,3,Accounting,0.9911764705882353,0.9473684210526316,False,0.0,2.0,19,1,18.0
1000123,3,Accounting,0.9911764705882353,0.9523809523809524,False,0.0,3.0,21,1,20.0
1000124,2,Accounting,1.0,0.9380530973451328,False,0.0,5.0,113,1,112.0
1000125,3,Accounting,1.0,0.8809523809523809,False,0.0,5.0,42,3,3.1538461538461537
1000126,3,Accounting,1.0,0.875,True,0.0625,3.0,48,3,2.473684210526316
1000127,3,Accounting,1.0,0.8907563025210085,False,0.0,8.0,119,2,4.916666666666667
1000128,3,Accounting,1.0,0.951219512195122,False,0.0,4.0,41,2,2.5
1000129,1,Accounting,1.0,0.75,False,0.0,3.0,4,1,3.0
1000130,1,Accounting,1.0,0.8,False,0.0,4.0,10,2,2.25
1000131,2,Accounting,1.0,0.9242424242424242,False,0.0,3.0,66,1,65.0
1000132,3,Accounting,0.99,0.7714285714285715,True,0.1111111111111111,1.0,35,2,2.0
1000133,3,Accounting,0.9911764705882353,0.631578947368421,False,0.0,2.0,19,1,18.0
1000134,1,Accounting,1.0,0.8888888888888888,False,0.0,1.0,9,1,8.0
1000135,3,Accounting,1.0,0.8823529411764706,False,0.0,3.0,17,1,16.0
1000136,1,Accounting,1.0,0.6666666666666666,False,0.0,2.0,6,1,5.0
1000137,3,Accounting,1.0,0.8214285714285714,True,1.0,2.0,28,2,13.5
1000138,3,Accounting,1.0,0.9705882352941176,True,0.1,5.0,34,2,3.0
1000139,3,Accounting,1.0,0.6818181818181818,False,0.0,4.0,22,2,7.0
1000140,0,Accounting,1.0,0.5674931129476584,True,0.0535714285714285,12.0,363,3,4.022222222222222
1000141,1,Accounting,1.0,0.8,False,0.0,2.0,10,1,9.0
1000142,3,Accounting,0.9911764705882353,0.8947368421052632,False,0.0,4.0,19,1,18.0
1000143,3,Accounting,1.0,0.935483870967742,False,0.0,3.0,31,1,30.0
1000144,3,Accounting,1.0,0.6428571428571429,True,0.05,10.0,126,3,5.0
1000145,3,Accounting,1.0,0.96,False,0.0,5.0,25,2,12.0
1000146,3,Accounting,1.0,0.95,False,0.0,5.0,60,4,2.269230769230769
1000147,0,Accounting,1.0,0.7905604719764012,True,0.0147058823529411,8.0,339,4,3.1296296296296298
1000148,0,Accounting,0.992248062015504,0.5526315789473685,True,0.0232558139534883,5.0,304,3,5.941176470588236
1000149,3,Accounting,1.0,0.9375,False,0.0,2.0,16,1,15.0
1000150,3,Accounting,1.0,0.9032258064516128,False,0.0,4.0,31,2,15.0
1000151,3,Accounting,1.0,0.7586206896551724,False,0.0,5.0,29,2,14.0
1000152,3,Accounting,1.0,0.8611111111111112,False,0.0,6.0,36,2,5.0
1000154,1,Accounting,1.0,0.8333333333333334,False,0.0,5.0,6,1,5.0
1000155,1,Accounting,1.0,0.5,False,0.0,1.0,2,1,1.0
1000156,1,Accounting,1.0,0.625,False,0.0,2.0,8,2,1.75
1000157,1,Accounting,1.0,0.9,False,0.0,2.0,10,1,9.0
1000158,3,Accounting,1.0,0.9032258064516128,False,0.0,8.0,31,3,4.285714285714286
1000159,3,Accounting,0.9828815628815629,0.7846153846153846,True,0.2857142857142857,6.0,65,2,2.909090909090909
1000160,1,Accounting,0.92,0.75,False,0.0,0.0,4,1,3.0
1000161,3,Accounting,1.0,0.8461538461538461,False,0.0,3.0,13,1,12.0
1000162,3,Accounting,1.0,0.7777777777777778,True,0.1428571428571428,2.0,36,2,2.6923076923076925
1000163,3,Accounting,0.9611764705882354,0.95,False,0.0,1.0,20,1,19.0
1000164,3,Accounting,0.9901960784313725,0.9080459770114944,False,0.0,7.0,87,2,43.0
1000165,3,Accounting,0.973447600617412,0.9846153846153848,False,0.0,3.0,65,2,2.2857142857142856
1000166,3,Accounting,1.0,0.7931034482758621,False,0.0,3.0,29,2,14.0
1000167,3,Accounting,1.0,0.8,False,0.0,2.0,25,2,2.4
1000168,1,Accounting,1.0,0.75,False,0.0,1.0,4,1,3.0
1000169,3,Accounting,0.9911764705882353,0.5714285714285714,False,0.0,2.0,21,1,20.0
1000170,3,Accounting,0.992248062015504,0.66,True,0.375,3.0,50,2,2.45
1000171,3,Accounting,1.0,0.9375,False,0.0,2.0,16,1,15.0
1000172,3,Accounting,1.0,0.8214285714285714,False,0.0,3.0,28,1,27.0
1000173,1,Accounting,1.0,0.8888888888888888,False,0.0,2.0,9,1,8.0
1000174,6,Non-Accounting,0.23314040485927998,0.2307692307692307,False,0.0,0.0,26,1,25.0
1000176,3,Accounting,1.0,0.4871794871794871,False,0.0,2.0,39,1,38.0
1000177,5,Accounting,1.0,0.6896551724137931,False,0.0,2.0,29,2,1.5333333333333334
1000178,3,Accounting,1.0,0.7878787878787878,False,0.0,2.0,33,2,1.8823529411764703
1000179,3,Accounting,1.0,0.8888888888888888,False,0.0,6.0,27,2,4.333333333333333
1000180,3,Accounting,0.9915966386554622,0.2830188679245283,False,0.0,3.0,106,2,7.0
1000182,1,Accounting,1.0,0.75,False,0.0,2.0,4,1,3.0
1000183,4,Accounting,0.982248062015504,0.311864406779661,True,0.1666666666666666,6.0,590,3,19.0
1000184,2,Accounting,1.0,0.4615384615384615,False,0.0,5.0,91,1,90.0
1000185,3,Accounting,0.973447600617412,0.986842105263158,False,0.0,3.0,76,3,2.2058823529411766
1000186,3,Accounting,1.0,0.6923076923076923,False,0.0,3.0,13,1,12.0
1000187,3,Accounting,1.0,0.9166666666666666,False,0.0,2.0,12,2,5.5
1000188,3,Accounting,0.9600332225913621,0.675,False,0.0,1.0,40,2,1.95
1000189,3,Accounting,1.0,0.9090909090909092,False,0.0,2.0,11,2,5.0
1000190,1,Accounting,1.0,0.4,False,0.0,1.0,10,1,9.0
1000191,1,Accounting,1.0,0.9090909090909092,False,0.0,2.0,11,1,10.0
1000192,3,Accounting,0.9828815628815629,0.7894736842105263,True,0.1111111111111111,6.0,76,2,5.769230769230769
1000194,1,Accounting,1.0,0.5555555555555556,False,0.0,3.0,9,2,4.0
1000195,1,Accounting,1.0,0.5,False,0.0,4.0,4,1,3.0
1000196,1,Accounting,0.9601685393258427,0.0,False,0.0,1.0,3,1,2.0
1000197,3,Accounting,0.9751296248970668,0.5256410256410257,True,0.25,5.0,78,2,3.5
1000198,0,Accounting,1.0,0.8773946360153256,True,0.1888888888888888,5.0,261,3,2.3008849557522124
1000199,3,Accounting,1.0,0.7586206896551724,False,0.0,3.0,29,2,3.5
1000200,3,Accounting,1.0,0.6140350877192983,False,0.0,3.0,57,2,8.0
1000201,0,Accounting,1.0,0.8472222222222222,False,0.0,6.0,144,4,3.575
1000204,3,Accounting,0.9707345770616918,0.1764705882352941,False,0.0,3.0,17,1,16.0
1000205,1,Accounting,1.0,0.8,False,0.0,2.0,5,1,4.0
1000206,3,Accounting,1.0,0.9230769230769232,False,0.0,3.0,13,2,3.0
1000207,3,Accounting,0.9808608058608059,0.717948717948718,False,0.0,5.0,39,2,19.0
1000208,3,Accounting,1.0,0.8913043478260869,True,0.1333333333333333,2.0,46,4,2.3684210526315788
1000209,3,Accounting,1.0,0.912280701754386,True,0.0555555555555555,4.0,57,3,2.8
1000210,3,Accounting,1.0,0.6666666666666666,False,0.0,5.0,15,4,3.5
1000211,3,Accounting,1.0,0.8666666666666667,False,0.0,7.0,30,2,14.5
1000212,3,Accounting,1.0,0.8333333333333334,True,0.1111111111111111,4.0,54,2,4.818181818181818
1000213,3,Accounting,1.0,0.8108108108108109,False,0.0,4.0,37,1,36.0
